artist,title,date
"""Townes Van Zandt""","""Mr. Mudd and Mr. Gold""",2022-12-27T14:52:27.189829
"""The Secret Sisters""","""He's Fine""",2022-12-27T14:52:27.190827
"""Pacifika""","""Me Cai""",2022-12-27T14:52:27.191856
"""Major Lazer""","""Watch Out For This (Bumaye)""",2022-12-27T14:52:27.219782
"""Dengue Fever""","""Mr. Orange""",2022-12-27T14:52:27.221744
"""Eric Lindell""","""Lay Back Down""",2022-12-27T14:52:27.222741
"""The Hermits""","""Ruby Red Summer""",2022-12-27T14:52:27.224735
"""Maria Taylor""","""This Is It""",2022-12-27T14:52:27.225732
"""Booker T Jones and Jolie Holland""","""What A Wonderful World""",2022-12-27T14:52:27.226729
"""The Spines""","""Box of Wine""",2022-12-27T14:52:27.230747
"""Worriers""","""They / Them / Theirs""",2022-12-27T14:52:27.231744
"""Kolidescopes""","""Back to You""",2022-12-27T14:52:27.233711
"""Surreal""","""The Impossible""",2022-12-27T14:52:27.245717
"""Mark  McGuire""","""Wonderland of Living Things""",2022-12-27T14:52:27.248703
"""Cheb I Sabbah""","""Qalanderi""",2022-12-27T14:52:27.251696
"""M. Ward""","""Girl From Conejo Valley (Live In Studio 1A)""",2022-12-27T14:52:27.256678
"""Nikki Lane""","""Jackpot""",2022-12-27T14:52:27.258672
"""Amy Stroup""","""FALLING""",2022-12-27T14:52:27.259669
"""Andrew Combs""","""Foolin'""",2022-12-27T14:52:27.261637
"""Palehound""","""Molly""",2022-12-27T14:52:27.263632
"""Alpine""","""Lovers 1, along with Lovers 2""",2022-12-27T14:52:27.265626
"""Rodrigo Y Gabriela""","""Hanuman""",2022-12-27T14:52:27.266623
"""GIRL MOST LIKELY""","""England""",2022-12-27T14:52:27.269619
"""Billy""","""Bethlehem""",2022-12-27T14:52:27.272643
"""The Chapin Sisters""","""Angeleno""",2022-12-27T14:52:27.274638
"""Matt Bauer (w/ Dana Falconberry)""","""Waiting For Your Shadow""",2022-12-27T14:52:27.276625
"""Austra""","""Painful Like""",2022-12-27T14:52:27.278619
"""Kurt Vile""","""Pretty Pimpin""",2022-12-27T14:52:27.280586
"""Josh Ritter""","""Joy to You Baby""",2022-12-27T14:52:27.281584
"""The Black Watch""","""I Don't Feel The Same""",2022-12-27T14:52:27.284602
"""Eliot Bronson""","""River Runs Dry""",2022-12-27T14:52:27.286598
"""Tiger Darrow""","""So Long Hello""",2022-12-27T14:52:27.286598
"""Löwin""","""Royal Jelly""",2022-12-27T14:52:27.289586
"""White Denim""","""Holda You (I’m Psycho) (Live)""",2022-12-27T14:52:27.292577
"""Angela Predhomme""","""This Might Be Good""",2022-12-27T14:52:27.295569
"""The Watson Twins""","""You Showed Me""",2022-12-27T14:52:27.296544
"""Sam Sparro""","""In Your Heaven""",2022-12-27T14:52:27.298538
"""Goat""","""Dreambuilding""",2022-12-27T14:52:27.326464
"""Travis""","""Reminder""",2022-12-27T14:52:27.329487
"""Jason Myles Goss""","""There's A Light Up Ahead """,2022-12-27T14:52:27.333477
"""Washed Out""","""Don't Give Up""",2022-12-27T14:52:27.336446
"""Wormburner""","""Somewhere Else To Be""",2022-12-27T14:52:27.363365
"""Jens Lekman""","""The Opposite of Hallelujah""",2022-12-27T14:52:27.364375
"""Stabil Elite""","""Hydravion""",2022-12-27T14:52:27.365372
"""Steven Bacon & Kendra Kinsey""","""No Place Like Oklahoma""",2022-12-27T14:52:27.370348
"""Nicole Atkins""","""Vultures""",2022-12-27T14:52:27.373338
"""Ana Tijoux""","""Sacar La Voz""",2022-12-27T14:52:27.375332
"""Tricky""","""Murder Weapon""",2022-12-27T14:52:27.377327
"""Dan Baker""","""365 Days""",2022-12-27T14:52:27.379351
"""The Real Tuesday Weld""","""Me & Mr. Wolf""",2022-12-27T14:52:27.381320
"""David Olney""","""Covington Girl""",2022-12-27T14:52:27.383339
"""Brandi Carlile""","""Blue Eyes Cryin’ in the Rain""",2022-12-27T14:52:27.385334
"""Me and My Arrow - ""","""Don't Let Me Down""",2022-12-27T14:52:27.386317
"""Luna""","""GTX3""",2022-12-27T14:52:27.388299
"""Mariah Ver Hoef""","""Summertime""",2022-12-27T14:52:27.390293
"""Heavy Trash""","""Outside Chance""",2022-12-27T14:52:27.391318
"""The 4onthefloor""","""All My Friends""",2022-12-27T14:52:27.392287
"""Tacocat""","""I Hate the Weekend""",2022-12-27T14:52:27.394284
"""Asgeir""","""Going Home""",2022-12-27T14:52:27.395280
"""The Uncluded""","""Delicate Cycle""",2022-12-27T14:52:27.397301
"""Deer Tick""","""These Old Shoes""",2022-12-27T14:52:27.398298
"""Bahamas""","""All The Time""",2022-12-27T14:52:27.401263
"""Keren Ann""","""Lay Your Head Down""",2022-12-27T14:52:27.404257
"""Meredith Bragg""","""My Absent Will""",2022-12-27T14:52:27.405252
"""South China""","""Painting""",2022-12-27T14:52:27.407276
"""Dr. Dog""","""Station""",2022-12-27T14:52:27.409244
"""Big Bill""","""Trick Everybody""",2022-12-27T14:52:27.411238
"""World Party""","""Is It Like Today? (Live In Studio 1A)""",2022-12-27T14:52:27.415253
"""Anthony David""","""Sweet Pain""",2022-12-27T14:52:27.417248
"""The Audible Dark""","""Curiosity""",2022-12-27T14:52:27.419243
