artist,title,date
"""Townes Van Zandt""","""Mr. Mudd and Mr. Gold""",2023-01-01T17:30:13.053743
"""The Secret Sisters""","""He's Fine""",2023-01-01T17:30:13.074723
"""Pacifika""","""Me Cai""",2023-01-01T17:30:14.574706
"""Major Lazer""","""Watch Out For This (Bumaye)""",2023-01-01T17:30:14.941696
"""Dengue Fever""","""Mr. Orange""",2023-01-01T17:30:16.445703
"""Eric Lindell""","""Lay Back Down""",2023-01-01T17:30:16.466655
"""The Hermits""","""Ruby Red Summer""",2023-01-01T17:30:17.971640
"""Maria Taylor""","""This Is It""",2023-01-01T17:30:19.477598
"""Booker T Jones and Jolie Holland""","""What A Wonderful World""",2023-01-01T17:30:20.989553
"""The Spines""","""Box of Wine""",2023-01-01T17:30:22.508523
"""Worriers""","""They / Them / Theirs""",2023-01-01T17:30:22.531463
"""Kolidescopes""","""Back to You""",2023-01-01T17:30:24.041395
"""Surreal""","""The Impossible""",2023-01-01T17:30:24.203991
"""Mark  McGuire""","""Wonderland of Living Things""",2023-01-01T17:30:25.725914
"""Cheb I Sabbah""","""Qalanderi""",2023-01-01T17:30:25.767806
"""M. Ward""","""Girl From Conejo Valley (Live In Studio 1A)""",2023-01-01T17:30:27.290703
"""Nikki Lane""","""Jackpot""",2023-01-01T17:30:28.801699
"""Amy Stroup""","""FALLING""",2023-01-01T17:30:28.825607
"""Andrew Combs""","""Foolin'""",2023-01-01T17:30:30.337556
"""Palehound""","""Molly""",2023-01-01T17:30:30.384432
"""Alpine""","""Lovers 1, along with Lovers 2""",2023-01-01T17:30:31.889550
"""Rodrigo Y Gabriela""","""Hanuman""",2023-01-01T17:30:33.399532
"""GIRL MOST LIKELY""","""England""",2023-01-01T17:30:34.909468
"""Billy""","""Bethlehem""",2023-01-01T17:30:34.929459
"""The Chapin Sisters""","""Angeleno""",2023-01-01T17:30:36.438380
"""Matt Bauer (w/ Dana Falconberry)""","""Waiting For Your Shadow""",2023-01-01T17:30:36.464311
"""Austra""","""Painful Like""",2023-01-01T17:30:37.970284
"""Kurt Vile""","""Pretty Pimpin""",2023-01-01T17:30:39.489306
"""Josh Ritter""","""Joy to You Baby""",2023-01-01T17:30:41.005168
"""The Black Watch""","""I Don't Feel The Same""",2023-01-01T17:30:42.546079
"""Eliot Bronson""","""River Runs Dry""",2023-01-01T17:30:44.051024
"""Tiger Darrow""","""So Long Hello""",2023-01-01T17:30:44.072965
"""Löwin""","""Royal Jelly""",2023-01-01T17:30:45.599911
"""White Denim""","""Holda You (I’m Psycho) (Live)""",2023-01-01T17:30:47.132786
"""Angela Predhomme""","""This Might Be Good""",2023-01-01T17:30:48.668675
"""The Watson Twins""","""You Showed Me""",2023-01-01T17:30:48.691617
"""Sam Sparro""","""In Your Heaven""",2023-01-01T17:30:50.203572
"""Goat""","""Dreambuilding""",2023-01-01T17:30:51.893084
"""Travis""","""Reminder""",2023-01-01T17:30:53.396041
"""Jason Myles Goss""","""There's A Light Up Ahead """,2023-01-01T17:30:53.418973
"""Washed Out""","""Don't Give Up""",2023-01-01T17:30:54.927982
"""Wormburner""","""Somewhere Else To Be""",2023-01-01T17:30:56.769090
"""Jens Lekman""","""The Opposite of Hallelujah""",2023-01-01T17:30:58.285034
"""Stabil Elite""","""Hydravion""",2023-01-01T17:30:59.788982
"""Steven Bacon & Kendra Kinsey""","""No Place Like Oklahoma""",2023-01-01T17:31:01.321916
"""Nicole Atkins""","""Vultures""",2023-01-01T17:31:02.824900
"""Ana Tijoux""","""Sacar La Voz""",2023-01-01T17:31:04.331869
"""Tricky""","""Murder Weapon""",2023-01-01T17:31:05.849817
"""Dan Baker""","""365 Days""",2023-01-01T17:31:05.869787
"""The Real Tuesday Weld""","""Me & Mr. Wolf""",2023-01-01T17:31:07.393684
"""David Olney""","""Covington Girl""",2023-01-01T17:31:08.902677
"""Brandi Carlile""","""Blue Eyes Cryin’ in the Rain""",2023-01-01T17:31:08.925617
"""Me and My Arrow - ""","""Don't Let Me Down""",2023-01-01T17:31:10.431560
"""Luna""","""GTX3""",2023-01-01T17:31:10.457520
"""Mariah Ver Hoef""","""Summertime""",2023-01-01T17:31:11.964461
"""Heavy Trash""","""Outside Chance""",2023-01-01T17:31:11.986485
"""The 4onthefloor""","""All My Friends""",2023-01-01T17:31:13.490385
"""Tacocat""","""I Hate the Weekend""",2023-01-01T17:31:14.999345
"""Asgeir""","""Going Home""",2023-01-01T17:31:15.019325
"""The Uncluded""","""Delicate Cycle""",2023-01-01T17:31:16.530251
"""Deer Tick""","""These Old Shoes""",2023-01-01T17:31:18.039216
"""Bahamas""","""All The Time""",2023-01-01T17:31:18.081153
"""Keren Ann""","""Lay Your Head Down""",2023-01-01T17:31:19.584117
"""Meredith Bragg""","""My Absent Will""",2023-01-01T17:31:21.097044
"""South China""","""Painting""",2023-01-01T17:31:22.605007
"""Dr. Dog""","""Station""",2023-01-01T17:31:22.624955
"""Big Bill""","""Trick Everybody""",2023-01-01T17:31:24.149910
"""World Party""","""Is It Like Today? (Live In Studio 1A)""",2023-01-01T17:31:25.686799
"""Anthony David""","""Sweet Pain""",2023-01-01T17:31:27.204836
"""The Audible Dark""","""Curiosity""",2023-01-01T17:31:28.719821
"""Josh Ritter""","""Change of Time""",2023-01-01T17:31:30.221799
"""Umphrey's McGee""","""Nemo""",2023-01-01T17:31:30.251718
"""New Sound Underground""","""Once More, For Love""",2023-01-01T17:31:31.757660
"""Wild Belle""","""Shine""",2023-01-01T17:31:33.269652
"""Karen Elson""","""The Ghost Who Walks""",2023-01-01T17:31:34.774626
"""Amadou and Mariam""","""Baro""",2023-01-01T17:31:36.294530
"""Jamie Kent""","""Broke, Not Broken""",2023-01-01T17:31:36.315510
"""Telekinesis""","""Coast of Carolina""",2023-01-01T17:31:37.822444
"""Alaska in Winter""","""Close Your Eyes, We Are Blind""",2023-01-01T17:31:39.334409
"""Scott H. Biram""","""Victory Song""",2023-01-01T17:31:41.186447
"""Motopony""","""Seer""",2023-01-01T17:31:42.702395
"""Mirah""","""24th St.""",2023-01-01T17:31:44.216346
"""A Band Called Quinn""","""Snowbus""",2023-01-01T17:31:44.243273
"""The O'Neill Brothers""","""Ave Maria""",2023-01-01T17:31:45.766201
"""Sean McCann""","""Peace Among The Bones""",2023-01-01T17:31:47.282684
"""Speck Mountain""","""Some Sweet Relief""",2023-01-01T17:31:47.307617
"""Yarn""","""The Truth of my Sweet Anna Lee""",2023-01-01T17:31:48.815551
"""Thao""","""Bag of Hammers""",2023-01-01T17:31:50.329535
"""School of Seven Bells""","""The Night""",2023-01-01T17:31:50.351477
"""BoDeans""","""All The World""",2023-01-01T17:31:51.873403
"""Clem Snide""","""Denise""",2023-01-01T17:31:53.390351
"""Redd Kross""","""Stay Away From Downtown""",2023-01-01T17:31:55.223417
"""The Mountain Goats""","""The Legend of Chavo Guerrero""",2023-01-01T17:31:56.742355
"""Joel Plaskett Emergency""","""Harbour Boys""",2023-01-01T17:31:58.578445
"""Doug Paisley""","""Song My Love Can Sing""",2023-01-01T17:32:00.089421
"""Ben Harper & the Innocent Criminals""","""Shine""",2023-01-01T17:32:01.599371
"""Nomade Orquestra""","""Estrada para Camomila""",2023-01-01T17:32:03.124289
"""Shabazz Palaces""","""Motion Sickness""",2023-01-01T17:32:03.168205
"""The Earaches""","""Not the Kind of Man I Am""",2023-01-01T17:32:04.689106
"""Magnolia Mountain""","""Gone""",2023-01-01T17:32:06.233975
"""A Fine Frenzy""","""The Minnow & The""",2023-01-01T17:32:06.253922
"""Deer Tick""","""Easy""",2023-01-01T17:32:07.760924
